Kundnr,Flexplatsadress,Flexgrupp,Fraktion,Flextyp,Flexplats,Utförande utfört,Enhet körtur,Vikt körtur
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-14,Kg,29
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-14,Kg,21.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-14,Kg,26.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-21,Kg,15
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-21,Kg,13
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-21,Kg,23
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-28,Kg,45.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-28,Kg,19.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-04-28,Kg,38
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-06,Kg,27.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-06,Kg,23.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-06,Kg,45.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-13,Kg,29.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-13,Kg,24.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-13,Kg,28.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-13,Kg,30.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-20,Kg,24
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-20,Kg,29
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-20,Kg,20.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-20,Kg,21.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-27,Kg,21
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-27,Kg,33.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-27,Kg,28
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-05-27,Kg,20
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-03,Kg,24.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-03,Kg,14
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-03,Kg,29.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-03,Kg,33.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-10,Kg,43.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-10,Kg,43
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-10,Kg,38.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-10,Kg,33.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-10,Kg,32.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-17,Kg,20.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-17,Kg,29
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-17,Kg,14.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-17,Kg,18
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-17,Kg,21.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-24,Kg,24
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-24,Kg,22.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-24,Kg,37.5
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-24,Kg,0
560013612,Eklandagatan 41,Kärl,Restavfall,370 liter,115839,2025-06-24,Kg,0
